sim,n_respondents,pct_categories_met,mean_time,pct_over_budget,min_qualified,total_assignments
1,7000,100.0,348.9496477060914,19.228571428571428,201,68270
1,7500,100.0,347.395150744096,19.573333333333334,207,74203
1,8000,100.0,351.64419409319873,20.575,211,80345
1,8500,100.0,349.6681694405776,21.0,210,86516
1,9000,100.0,348.60557430809894,20.855555555555554,207,92587
1,9500,98.7012987012987,350.27694342478526,20.74736842105263,199,98669
1,10000,100.0,348.40515510515894,20.44,211,104953
1,10500,98.7012987012987,348.3661528430962,20.704761904761902,199,110902
1,11000,100.0,350.07704404927,21.654545454545453,201,117021
1,11500,98.7012987012987,351.8050340703861,21.65217391304348,191,123071
1,12000,100.0,350.69720964208756,20.808333333333334,211,129212
2,2000,25.97402597402597,357.07580817023,24.099999999999998,0,23668
2,2500,33.76623376623377,359.348656963404,25.040000000000003,0,28927
2,3000,45.45454545454545,357.9437504953433,23.1,0,33615
2,3500,58.44155844155844,356.90386164964,22.97142857142857,0,37657
2,4000,70.12987012987013,362.83335571589754,23.799999999999997,0,41211
2,4500,76.62337662337663,359.0608165419911,22.62222222222222,0,44274
2,5000,87.01298701298701,353.868353662758,20.68,0,47212
2,5500,96.1038961038961,355.23711673737273,19.581818181818182,107,50386
2,6000,100.0,354.63372093298005,20.416666666666668,209,55990
2,6500,100.0,356.4451521507031,20.72307692307692,207,62197
2,7000,100.0,357.07682940308575,21.771428571428572,213,68231
2,7500,100.0,355.4381140715133,21.4,207,74312
2,8000,100.0,354.8185753574025,20.849999999999998,210,80376
2,8500,100.0,357.2111719488659,21.83529411764706,202,86429
2,9000,100.0,355.8749628349722,22.311111111111114,214,92453
2,9500,100.0,354.4588104068568,21.768421052631577,200,98485
2,10000,100.0,355.146868138821,22.13,209,104717
2,10500,100.0,356.07364770798574,22.447619047619046,203,110839
2,11000,100.0,356.27782818629726,22.490909090909092,211,116911
2,11500,98.7012987012987,356.63327522758266,22.747826086956522,195,123185
2,12000,100.0,354.38292102226757,22.591666666666665,210,129263
3,2000,23.376623376623375,352.75670164338,23.25,0,23723
3,2500,32.467532467532465,353.299814961576,22.28,0,28971
3,3000,46.75324675324675,356.1130439117799,22.066666666666666,0,33680
3,3500,58.44155844155844,354.3918322017143,22.257142857142856,0,37716
3,4000,66.23376623376623,355.60620302792256,23.0,0,41185
3,4500,76.62337662337663,353.99893826079335,21.177777777777777,0,44210
3,5000,87.01298701298701,354.80677516564,20.22,0,47224
3,5500,96.1038961038961,355.2077030413782,20.30909090909091,102,50439
3,6000,100.0,354.58584884239167,19.85,214,56034
3,6500,100.0,354.6587976630784,19.846153846153847,209,62189
3,7000,100.0,352.74397670421007,20.32857142857143,201,68108
3,7500,100.0,355.20241258929866,20.746666666666666,212,74306
3,8000,100.0,353.6117647053175,20.9875,206,80490
3,8500,100.0,353.8208621387447,21.03529411764706,212,86564
3,9000,100.0,352.65119480836444,21.255555555555556,202,92715
3,9500,98.7012987012987,354.2216028510316,21.326315789473686,196,98813
3,10000,100.0,352.55121452513,21.69,202,104795
3,10500,100.0,353.1565758476448,21.561904761904763,208,110897
3,11000,97.40259740259741,352.5921920755,21.863636363636363,197,116964
3,11500,100.0,354.0524603791339,21.730434782608697,205,123075
3,12000,100.0,352.0266839638833,21.141666666666666,206,129329
4,2000,24.675324675324674,351.83057709162995,24.15,0,23812
4,2500,32.467532467532465,359.083467254228,23.64,0,29046
4,3000,46.75324675324675,354.93668476215004,23.433333333333334,0,33636
4,3500,58.44155844155844,359.1537783914629,23.42857142857143,0,37707
4,4000,67.53246753246754,356.1988707982475,22.725,0,41081
4,4500,77.92207792207793,354.0538127476022,21.08888888888889,0,44105
4,5000,87.01298701298701,357.10384615670006,20.82,0,47062
4,5500,97.40259740259741,356.54271482674363,19.854545454545455,98,50282
4,6000,98.7012987012987,353.6904444662383,19.883333333333333,195,55949
4,6500,100.0,354.2205029595815,20.03076923076923,206,61976
4,7000,100.0,354.77637232158287,20.57142857142857,211,68118
4,7500,100.0,355.778942406876,21.026666666666667,206,74374
4,8000,100.0,353.0179986838938,20.9875,201,80398
4,8500,100.0,352.7363111116306,20.588235294117645,218,86432
4,9000,100.0,356.90472586971,21.91111111111111,203,92615
4,9500,100.0,356.28875489147157,22.347368421052632,211,98667
4,10000,100.0,353.876564606015,21.65,200,104826
4,10500,100.0,353.23221422747906,21.676190476190477,207,110951
4,11000,100.0,355.3533191757836,21.96363636363636,205,116977
4,11500,100.0,354.9654983609931,22.695652173913043,210,123101
4,12000,100.0,354.7255590342491,22.01666666666667,200,129262
5,2000,24.675324675324674,362.59888585943,25.3,0,23719
5,2500,31.16883116883117,357.963305949848,24.8,0,29013
5,3000,48.05194805194805,353.9386935262233,23.433333333333334,0,33673
5,3500,58.44155844155844,355.3531151969457,23.057142857142857,0,37684
5,4000,66.23376623376623,354.2006424258925,21.75,0,41110
5,4500,76.62337662337663,356.9454314594955,22.42222222222222,0,44107
5,5000,87.01298701298701,353.618845366396,20.080000000000002,0,47162
5,5500,97.40259740259741,356.72539168457456,20.50909090909091,100,50359
5,6000,100.0,356.8906368510617,20.150000000000002,209,55935
